nr;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A
NR98;3,700000;NO;2,501563;-1,506244;3,700000;YES;2,502218;-1,505554;7,400000;NO;2,502716;-1,506018;7,400000;YES;2,502684;-1,505439;12,000000;NO;2,502362;-1,505384;12,000000;YES;2,502550;-1,505918;18,000000;NO;2,502578;-1,506315;18,000000;YES;2,502946;-1,505927
NR95;3,700000;NO;2,501708;-1,504814;3,700000;YES;2,501750;-1,505104;7,400000;NO;2,502313;-1,504037;7,400000;YES;2,502267;-1,504031;12,000000;NO;2,502127;-1,504575;12,000000;YES;2,501923;-1,504431;18,000000;NO;2,501553;-1,504655;18,000000;YES;2,501507;-1,504787
NR94;3,700000;NO;2,508383;-1,505995;3,700000;YES;2,508994;-1,505264;7,400000;NO;2,508734;-1,505276;7,400000;YES;2,508568;-1,505118;12,000000;NO;2,508380;-1,505659;12,000000;YES;2,508411;-1,505577;18,000000;NO;2,508034;-1,505810;18,000000;YES;2,508106;-1,505798
NR99;3,700000;NO;2,497187;-1,510555;3,700000;YES;2,497096;-1,510320;7,400000;NO;2,497574;-1,510308;7,400000;YES;2,497470;-1,510897;12,000000;NO;2,497590;-1,510572;12,000000;YES;2,497335;-1,510707;18,000000;NO;2,497459;-1,510880;18,000000;YES;2,497493;-1,511171
NR70;3,700000;NO;2,494718;-1,502385;3,700000;YES;2,495498;-1,501316;7,400000;NO;2,495133;-1,501969;7,400000;YES;2,495411;-1,501560;12,000000;NO;2,495543;-1,501830;12,000000;YES;2,495511;-1,501757;18,000000;NO;2,495697;-1,502034;18,000000;YES;2,495568;-1,502070
NR61;3,700000;NO;2,503662;-1,504076;3,700000;YES;2,504236;-1,503686;7,400000;NO;2,503279;-1,503481;7,400000;YES;2,502938;-1,503649;12,000000;NO;2,502685;-1,503879;12,000000;YES;2,502887;-1,503934;18,000000;NO;2,502802;-1,504208;18,000000;YES;2,502823;-1,504477
NR68;3,700000;NO;2,506349;-1,507066;3,700000;YES;2,507090;-1,506067;7,400000;NO;2,506878;-1,506139;7,400000;YES;2,507245;-1,506193;12,000000;NO;2,507860;-1,506254;12,000000;YES;2,507529;-1,506469;18,000000;NO;2,507967;-1,506454;18,000000;YES;2,508190;-1,506675
NR96;3,700000;NO;2,498479;-1,502887;3,700000;YES;2,499094;-1,501748;7,400000;NO;2,499135;-1,502440;7,400000;YES;2,499228;-1,502218;12,000000;NO;2,499427;-1,502204;12,000000;YES;2,499221;-1,502919;18,000000;NO;2,499663;-1,502218;18,000000;YES;2,499213;-1,502905
NR79;3,700000;NO;2,495574;-1,509116;3,700000;YES;2,496899;-1,507951;7,400000;NO;2,495895;-1,508764;7,400000;YES;2,496533;-1,508142;12,000000;NO;2,496051;-1,508669;12,000000;YES;2,496581;-1,508141;18,000000;NO;2,496522;-1,509039;18,000000;YES;2,497036;-1,508677
NR119;3,700000;NO;2,505165;-1,511556;3,700000;YES;2,505747;-1,510989;7,400000;NO;2,505883;-1,511283;7,400000;YES;2,506112;-1,510949;12,000000;NO;2,506214;-1,511365;12,000000;YES;2,506124;-1,511074;18,000000;NO;2,506243;-1,511423;18,000000;YES;2,506096;-1,511457
NR57;3,700000;NO;2,501172;-1,505937;3,700000;YES;2,501834;-1,505310;7,400000;NO;2,501421;-1,505723;7,400000;YES;2,501586;-1,505634;12,000000;NO;2,501035;-1,505769;12,000000;YES;2,501195;-1,505629;18,000000;NO;2,500926;-1,506071;18,000000;YES;2,500774;-1,505860
NR104;3,700000;NO;2,498950;-1,507232;3,700000;YES;2,499537;-1,506779;7,400000;NO;2,499790;-1,506737;7,400000;YES;2,499689;-1,506676;12,000000;NO;2,499814;-1,506946;12,000000;YES;2,499497;-1,507007;18,000000;NO;2,499699;-1,507244;18,000000;YES;2,499704;-1,507047
NR117;3,700000;NO;2,500239;-1,515514;3,700000;YES;2,501123;-1,514421;7,400000;NO;2,500902;-1,514765;7,400000;YES;2,500979;-1,514811;12,000000;NO;2,500815;-1,514498;12,000000;YES;2,500790;-1,515114;18,000000;NO;2,500594;-1,514869;18,000000;YES;2,500669;-1,514707
NR93;3,700000;NO;2,493651;-1,508041;3,700000;YES;2,494144;-1,507630;7,400000;NO;2,493816;-1,507528;7,400000;YES;2,494061;-1,507509;12,000000;NO;2,493638;-1,507365;12,000000;YES;2,493419;-1,507682;18,000000;NO;2,492914;-1,507939;18,000000;YES;2,493067;-1,507452
NR111;3,700000;NO;2,502769;-1,510941;3,700000;YES;2,503386;-1,509857;7,400000;NO;2,503261;-1,510016;7,400000;YES;2,503571;-1,509903;12,000000;NO;2,503277;-1,510262;12,000000;YES;2,503288;-1,510237;18,000000;NO;2,502741;-1,510467;18,000000;YES;2,502859;-1,510734
